reaction_description（原文中对实验条件的简要描述，例：CT reduction in ultrapure water）,Chemical Reaction Equation（反应方程式例如CCl4 + e- →CCl3 + Cl-）,reaction_step（总反应/第1步/第2步）,reaction_type（还原 / 氧化 / 生物降解/还原+生物降解等）,reactant（反应物）,product（含产物生成比例）,reaction_order（1/0/2）,rate_constant,rate_constant_unit（min⁻¹ / h⁻¹ / L·m⁻²·h⁻¹）,half_life,half_life_unit（h / min / d）,activation_energy（活化能）,activation_energy_unit（kJ/mol）,temperature,temperature_unit（°C / K）,pH,pH_note（"buffered" / "initial"）,initial_concentration,initial_concentration_unit（mg/L / μM / mM）,mineral_type,mineral_surface_area,mineral_surface_area_unit（m²/g）,experiment_type（批次 / 柱实验 / 田间）,影响速率常数因素（pH/温度/反应物浓度/生成物浓度等）,影响速率常数因子n,oxygen_condition（氧气条件 好氧 / 厌氧 / 微好氧）,notes（其他备注，如"CF yield 28%" / "k1 and k2 from sequential fitting"）,参考文献,journal（文献发表所在期刊）
"CT reduction in SPC/Fe(II) system with 1.0 CMC SDS, SPC/Fe(II)/CT=40/80/1",CCl4 + CO2−• → •CCl3 + CO2 + Cl−,总反应,还原,CT,"•CCl3, CHCl3, CCl2=CCl2, CCl3CCl3",NA,NA,NA,NA,NA,NA,NA,20,°C,5.03,initial,0.15,mM,NA,NA,NA,批次,SDS浓度,NA,NA,99.4% removal; final pH=3.10,Mechanism of carbon tetrachloride reduction in Fe(II) activated percarbonate system in the environment of sodium dodecyl sulfate,Separation and Purification Technology
"CT reduction in SPC/Fe(II) system with 1.0 CMC SDS, SPC/Fe(II)/CT=20/40/1",CCl4 + CO2−• → •CCl3 + CO2 + Cl−,总反应,还原,CT,"•CCl3, CHCl3, CCl2=CCl2, CCl3CCl3",NA,NA,NA,NA,NA,NA,NA,20,°C,5.26,initial,0.15,mM,NA,NA,NA,批次,SDS浓度,NA,NA,97.8% removal; final pH=2.93,,Separation and Purification Technology
"CT reduction in SPC/Fe(II) system with 1.0 CMC SDS, SPC/Fe(II)/CT=10/20/1",CCl4 + CO2−• → •CCl3 + CO2 + Cl−,总反应,还原,CT,"•CCl3, CHCl3, CCl2=CCl2, CCl3CCl3",NA,NA,NA,NA,NA,NA,NA,20,°C,5.29,initial,0.15,mM,NA,NA,NA,批次,SDS浓度,NA,NA,95.2% removal; final pH=2.95,,Separation and Purification Technology
"CT reduction in SPC/Fe(II) system with 0.2 CMC SDS, SPC/Fe(II)/CT=5/10/1",CCl4 + CO2−• → •CCl3 + CO2 + Cl−,总反应,还原,CT,"•CCl3, CHCl3, CCl2=CCl2, CCl3CCl3",NA,NA,NA,NA,NA,NA,NA,20,°C,5.34,initial,0.15,mM,NA,NA,NA,批次,SDS浓度,NA,NA,87.2% removal; final pH=3.02; optimal dosage,,Separation and Purification Technology
"CT reduction in actual groundwater, SPC/Fe(II)/CT=20/40/1 with 0.2 CMC SDS",CCl4 + CO2−• → •CCl3 + CO2 + Cl−,总反应,还原,CT,"•CCl3, CHCl3, CCl2=CCl2, CCl3CCl3",NA,NA,NA,NA,NA,NA,NA,20,°C,6.65,initial,0.15,mM,NA,NA,NA,批次,地下水基质,NA,NA,95.4% removal; final pH=5.39; TOC=5.10 mg/L in groundwater,,Separation and Purification Technology
CHCl3 adsorption on AC/SiO2 at 20 mg/L,NA,总反应,吸附,chloroform,NA,2,12.252,g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,20,mg/L,NA,147,m²/g,批次,反应物浓度,NA,NA,"Pseudo-second order k2 value; qe,cal=19.305 mg/g","Silica nanoparticles loaded on activated carbon for simultaneous removal of dichloromethane, trichloromethane, and carbon tetrachloride",Advanced Powder Technology
CHCl3 adsorption on AC/SiO2 at 10 mg/L,NA,总反应,吸附,chloroform,NA,2,35.201,g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,10,mg/L,NA,147,m²/g,批次,反应物浓度,NA,NA,"Pseudo-second order k2 value; qe,cal=10.526 mg/g",,Advanced Powder Technology
CHCl3 adsorption on AC/SiO2 at 5 mg/L,NA,总反应,吸附,chloroform,NA,2,36.022,g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,5,mg/L,NA,147,m²/g,批次,反应物浓度,NA,NA,"Pseudo-second order k2 value; qe,cal=4.519 mg/g",,Advanced Powder Technology
CCl4 adsorption on AC/SiO2 at 20 mg/L,NA,总反应,吸附,carbon tetrachloride,NA,2,53.614,g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,20,mg/L,NA,147,m²/g,批次,反应物浓度,NA,NA,"Pseudo-second order k2 value; qe,cal=20.450 mg/g",,Advanced Powder Technology
CCl4 adsorption on AC/SiO2 at 10 mg/L,NA,总反应,吸附,carbon tetrachloride,NA,2,35.201,g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,10,mg/L,NA,147,m²/g,批次,反应物浓度,NA,NA,"Pseudo-second order k2 value; qe,cal=10.526 mg/g",,Advanced Powder Technology
CCl4 adsorption on AC/SiO2 at 5 mg/L,NA,总反应,吸附,carbon tetrachloride,NA,2,91.63,g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,5,mg/L,NA,147,m²/g,批次,反应物浓度,NA,NA,"Pseudo-second order k2 value; qe,cal=5.068 mg/g",,Advanced Powder Technology
"Chloroform dechlorination by Methanosarcina sp. strain DCM, growth cycle 2",CHCl3 → CH2Cl2 + Cl-,第1步,还原,chloroform,methylene chloride (70% yield at day 3),NA,0.71,μmol CF/mmol CH4,NA,NA,NA,NA,37,°C,NA,NA,10,μM,NA,NA,NA,批次,primary substrate concentration,NA,厌氧,CH4-normalized dechlorination rate; trace chloromethane detected,DECHLORINATION OF CHLOROFORM BY METHANOSARCINA STRAINS,Appl Environ Microbiol
"Chloroform dechlorination by M. mazei S6, growth cycle 2",CHCl3 → CH2Cl2 + Cl-,第1步,还原,chloroform,methylene chloride (78% yield),NA,NA,NA,NA,NA,NA,NA,37,°C,NA,NA,10,μM,NA,NA,NA,批次,NA,NA,厌氧,Similar to strain DCM,,Appl Environ Microbiol
Carbon tetrachloride dechlorination by strain DCM,CCl4 → products,总反应,还原,carbon tetrachloride,NA,NA,NA,NA,NA,NA,NA,NA,37,°C,NA,NA,NA,NA,NA,NA,NA,批次,NA,NA,厌氧,Dechlorination faster than chloroform,,Appl Environ Microbiol
Chloroform dechlorination with 0.10 mmol methanol,CHCl3 → CH2Cl2,第1步,还原,chloroform,methylene chloride,NA,0.51,μmol CF/mmol CH4,NA,NA,NA,NA,37,°C,NA,NA,100,nmol/10ml,NA,NA,NA,批次,primary substrate concentration,NA,厌氧,88 μmol CH4 produced; 55 nmol CF remaining,,Appl Environ Microbiol
Chloroform dechlorination with 0.25 mmol methanol,CHCl3 → CH2Cl2,第1步,还原,chloroform,methylene chloride,NA,0.6,μmol CF/mmol CH4,NA,NA,NA,NA,37,°C,NA,NA,100,nmol/10ml,NA,NA,NA,批次,primary substrate concentration,NA,厌氧,157 μmol CH4 produced; 30 nmol CF remaining,,Appl Environ Microbiol
Chloroform dechlorination with methylamine,CHCl3 → CH2Cl2,第1步,还原,chloroform,methylene chloride,NA,0.56,μmol CF/mmol CH4,NA,NA,NA,NA,37,°C,NA,NA,100,nmol/10ml,NA,NA,NA,批次,primary substrate type,NA,厌氧,139 μmol CH4 produced,,Appl Environ Microbiol
Chloroform dechlorination with dimethylamine,CHCl3 → CH2Cl2,第1步,还原,chloroform,methylene chloride,NA,0.27,μmol CF/mmol CH4,NA,NA,NA,NA,37,°C,NA,NA,100,nmol/10ml,NA,NA,NA,批次,primary substrate type,NA,厌氧,324 μmol CH4 produced,,Appl Environ Microbiol
Chloroform dechlorination with trimethylamine,CHCl3 → CH2Cl2,第1步,还原,chloroform,methylene chloride,NA,0.21,μmol CF/mmol CH4,NA,NA,NA,NA,37,°C,NA,NA,100,nmol/10ml,NA,NA,NA,批次,primary substrate type,NA,厌氧,472 μmol CH4 produced; all CF consumed,,Appl Environ Microbiol
14C-chloroform metabolism to CO2,CHCl3 → CO2,总反应,还原+氧化,chloroform,CO2 (7% of added radioactivity),NA,NA,NA,NA,NA,NA,NA,37,°C,NA,NA,0.5,μmol/50ml,NA,NA,NA,批次,NA,NA,厌氧,7% recovered as 14CO2; no 14CH4; specific activity 2.98 mCi/mmol,,Appl Environ Microbiol
CCl4 reduction by FeH2(D) aged 0 days in DO/DI water,CCl4 + e- → products,总反应,还原,CCl4,CF (chloroform) + other products,1,~0.15,L·g⁻¹·h⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,4.01,µM,nano-Fe0 produced by H2 reduction,29,m²/g,批次,aging time,NA,厌氧,FeH2(D) unaged; YCF ~28% at 0 day,Aging of iron nanoparticles in aqueous solution: Effects on structure and reactivity,J. Phys. Chem. C
CCl4 reduction by FeH2(D) aged 1-2 days in DO/DI water,CCl4 + e- → products,总反应,还原,CCl4,CF (chloroform) + other products,1,~0.25,L·g⁻¹·h⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,4.01,µM,nano-Fe0 produced by H2 reduction,26-31,m²/g,批次,aging time,NA,厌氧,FeH2(D) aged 1-2 days; maximum kM and YCF (~45%),,J. Phys. Chem. C
CCl4 reduction by FeH2(D) aged 30 days in DO/DI water,CCl4 + e- → products,总反应,还原,CCl4,CF (chloroform) + other products,1,~0.08,L·g⁻¹·h⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,4.01,µM,nano-Fe0 produced by H2 reduction,29,m²/g,批次,aging time,NA,厌氧,FeH2(D) aged 30 days; YCF ~20%,,J. Phys. Chem. C
CCl4 reduction by flash-dried FeH2(W) aged 6 months in slurry + 0 days in DO/DI water,CCl4 + e- → products,总反应,还原,CCl4,CF (chloroform) + other products,1,~0.04,L·g⁻¹·h⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,4.01,µM,nano-Fe0 produced by H2 reduction,5.2,m²/g,批次,aging time,NA,厌氧,Flash-dried FeH2(W); YCF ~15%; øFe(0) ~0.3,,J. Phys. Chem. C
CCl4 degradation with FeOOH nanoparticles in methanol-water mixture,CCl4 → Cl- + products,总反应,还原,CCl4,Cl-,2,1.4E-06,ppm⁻¹·min⁻¹,NA,NA,NA,NA,room temperature,NA,8.1,initial,250; 500; 750; 1000,ppm,FeOOH,NA,NA,批次,initial_concentration,2,NA,Second-order kinetics; rate constant determined by differential method at t=1.5 min,"Synthesis, Characterization and Application of Nano Lepidocrocite and Magnetite in the Degradation of Carbon Tetrachloride",S. Afr. J. Chem.
CCl4 degradation with Fe3O4 nanoparticles in methanol-water mixture,CCl4 → Cl- + products,总反应,还原,CCl4,Cl-,1,9.58E-04,min⁻¹,NA,NA,NA,NA,room temperature,NA,8.1,initial,250; 500; 750; 1000,ppm,Fe3O4,NA,NA,批次,initial_concentration,1,NA,First-order kinetics; Fe3O4 much more reactive than FeOOH; rate constant determined by differential method at t=1.5 min,,S. Afr. J. Chem.
O2-exposed pyrite reacted aerobically,CCl4 + pyrite-S → products,总反应,还原,CCl4,CO2 (70-80%); CHCl3 (5-6%); CS2 (11-15%); formate (2%),0,0.021,mol·m⁻²·d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,1,µM,FeS2,0.083,m²/g,批次,O2 exposure pretreatment,NA,好氧,Surface area normalized rate; >90% transformed in 42 days,TRANSFORMATION OF CARBON-TETRACHLORIDE BY PYRITE IN AQUEOUS-SOLUTION,Environ. Sci. Technol.
O2-exposed pyrite with sulfide,CCl4 + pyrite-S → products,总反应,还原,CCl4,CHCl3 (21-22%); CS2; CO2,0,0.026,mol·m⁻²·d⁻¹,NA,NA,NA,NA,25,°C,7.75,initial,1,µM,FeS2,0.083,m²/g,批次,sulfide presence,NA,厌氧,>90% transformed in 31 days; sulfide inhibits reaction,,Environ. Sci. Technol.
O2-exposed pyrite reacted anaerobically,CCl4 + pyrite-S → products,总反应,还原,CCl4,CHCl3 (28-30%); CS2 (0-3%); CO2 (26-30%); formate (7-9%),0,0.047,mol·m⁻²·d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,1,µM,FeS2,0.083,m²/g,批次,O2 pretreatment only,NA,厌氧,>90% transformed in 20 days,,Environ. Sci. Technol.
Fresh-ground pyrite reacted anaerobically,CCl4 + pyrite-S → products,总反应,还原,CCl4,CHCl3 (48%); CS2 (2%); CO2 (10%); formate (5%),0,0.039,mol·m⁻²·d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,1,µM,FeS2,0.1,m²/g,批次,no pretreatment,NA,厌氧,>90% transformed in 13 days; CHCl3 major product (~50%),,Environ. Sci. Technol.
Acid-treated pyrite reacted anaerobically,CCl4 + pyrite-S → products,总反应,还原,CCl4,CHCl3 (20-21%); CS2 (19-20%); CO2 (17%); formate (4%),0,0.053,mol·m⁻²·d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,1,µM,FeS2,0.11,m²/g,批次,HCl acid wash pretreatment,NA,厌氧,>90% transformed in 12 days; fastest rate observed,,Environ. Sci. Technol.
CT biotransformation under methanogenic conditions,CCl4 → CHCl3 + H+ + Cl-,第1步,还原,Carbon tetrachloride (CT),Chloroform (CF),NA,0.03,micromole/L/day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,NA,NA,厌氧,μmax for CT; methanogenic conditions,ESTIMATING BIOTRANSFORMATION RATE CONSTANTS FOR SEQUENTIAL REDUCTIVE DEHALOGENATION REACTIONS,Journal of Environmental Engineering
CF biotransformation under methanogenic conditions,CHCl3 → CH2Cl2 + H+ + Cl-,第2步,还原,Chloroform (CF),Methylene chloride (MC),NA,0.004,micromole/L/day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,NA,NA,厌氧,μmax for CF; methanogenic conditions,,Journal of Environmental Engineering
MC biotransformation under methanogenic conditions,CH2Cl2 → products,第3步,还原,Methylene chloride (MC),NA,NA,0.018,micromole/L/day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,NA,NA,厌氧,μmax for MC; methanogenic conditions,,Journal of Environmental Engineering
CT first-order biotransformation,CCl4 → CHCl3 + H+ + Cl-,第1步,还原,Carbon tetrachloride (CT),Chloroform (CF),1,0.08,d-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,反应物浓度,NA,厌氧,M1 first-order rate constant; low concentration assumption,,Journal of Environmental Engineering
CF first-order biotransformation,CHCl3 → CH2Cl2 + H+ + Cl-,第2步,还原,Chloroform (CF),Methylene chloride (MC),1,0.038,d-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,反应物浓度,NA,厌氧,M2 first-order rate constant; low concentration assumption,,Journal of Environmental Engineering
MC first-order biotransformation,CH2Cl2 → products,第3步,还原,Methylene chloride (MC),NA,1,0.36,d-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,反应物浓度,NA,厌氧,M3 first-order rate constant; low concentration assumption,,Journal of Environmental Engineering
"CHCl3 adsorption, pseudo-first-order kinetics, C0=20 mg/L",NA,总反应,吸附,chloroform,NA,1,0.027406,min⁻¹,NA,NA,NA,NA,25,°C,NA,NA,20,mg/L,cerium oxide-activated carbon composite,NA,NA,批次,initial_concentration,NA,NA,"qe,exp=15.64 mg/g; qe,cal=131.033 mg/g",Adsorption of chlorinated organic compounds from water with cerium oxide-activated carbon composite,Arabian Journal of Chemistry
"CHCl3 adsorption, pseudo-first-order kinetics, C0=10 mg/L",NA,总反应,吸附,chloroform,NA,1,0.021418,min⁻¹,NA,NA,NA,NA,25,°C,NA,NA,10,mg/L,cerium oxide-activated carbon composite,NA,NA,批次,initial_concentration,NA,NA,"qe,exp=8.52 mg/g; qe,cal=49.424 mg/g",,Arabian Journal of Chemistry
"CHCl3 adsorption, pseudo-first-order kinetics, C0=5 mg/L",NA,总反应,吸附,chloroform,NA,1,0.025794,min⁻¹,NA,NA,NA,NA,25,°C,NA,NA,5,mg/L,cerium oxide-activated carbon composite,NA,NA,批次,initial_concentration,NA,NA,"qe,exp=4.73 mg/g; qe,cal=83.538 mg/g",,Arabian Journal of Chemistry
"CHCl3 adsorption, pseudo-second-order kinetics, C0=20 mg/L",NA,总反应,吸附,chloroform,NA,2,0.000989,g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,20,mg/L,cerium oxide-activated carbon composite,NA,NA,批次,initial_concentration,NA,NA,"qe,exp=15.64 mg/g; qe,cal=16.08 mg/g",,Arabian Journal of Chemistry
"CHCl3 adsorption, pseudo-second-order kinetics, C0=10 mg/L",NA,总反应,吸附,chloroform,NA,2,0.002112,g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,10,mg/L,cerium oxide-activated carbon composite,NA,NA,批次,initial_concentration,NA,NA,"qe,exp=8.52 mg/g; qe,cal=8.83 mg/g",,Arabian Journal of Chemistry
"CHCl3 adsorption, pseudo-second-order kinetics, C0=5 mg/L",NA,总反应,吸附,chloroform,NA,2,0.000121,g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,5,mg/L,cerium oxide-activated carbon composite,NA,NA,批次,initial_concentration,NA,NA,"qe,exp=4.73 mg/g; qe,cal=4.79 mg/g",,Arabian Journal of Chemistry
"CCl4 adsorption, pseudo-first-order kinetics, C0=20 mg/L",NA,总反应,吸附,carbon tetrachloride,NA,1,0.028327,min⁻¹,NA,NA,NA,NA,25,°C,NA,NA,20,mg/L,cerium oxide-activated carbon composite,NA,NA,批次,initial_concentration,NA,NA,"qe,exp=19.53 mg/g; qe,cal=66.119 mg/g",,Arabian Journal of Chemistry
"CCl4 adsorption, pseudo-first-order kinetics, C0=10 mg/L",NA,总反应,吸附,carbon tetrachloride,NA,1,0.032012,min⁻¹,NA,NA,NA,NA,25,°C,NA,NA,10,mg/L,cerium oxide-activated carbon composite,NA,NA,批次,initial_concentration,NA,NA,"qe,exp=8.42 mg/g; qe,cal=18.926 mg/g",,Arabian Journal of Chemistry
"CCl4 adsorption, pseudo-first-order kinetics, C0=5 mg/L",NA,总反应,吸附,carbon tetrachloride,NA,1,0.026945,min⁻¹,NA,NA,NA,NA,25,°C,NA,NA,5,mg/L,cerium oxide-activated carbon composite,NA,NA,批次,initial_concentration,NA,NA,"qe,exp=4.18 mg/g; qe,cal=78.415 mg/g",,Arabian Journal of Chemistry
"CCl4 adsorption, pseudo-second-order kinetics, C0=20 mg/L",NA,总反应,吸附,carbon tetrachloride,NA,2,0.002551,g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,20,mg/L,cerium oxide-activated carbon composite,NA,NA,批次,initial_concentration,NA,NA,"qe,exp=19.53 mg/g; qe,cal=19.81 mg/g",,Arabian Journal of Chemistry
"CCl4 adsorption, pseudo-second-order kinetics, C0=10 mg/L",NA,总反应,吸附,carbon tetrachloride,NA,2,0.004344,g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,10,mg/L,cerium oxide-activated carbon composite,NA,NA,批次,initial_concentration,NA,NA,"qe,exp=8.42 mg/g; qe,cal=8.59 mg/g",,Arabian Journal of Chemistry
"CCl4 adsorption, pseudo-second-order kinetics, C0=5 mg/L",NA,总反应,吸附,carbon tetrachloride,NA,2,0.011527,g/(mg·min),NA,NA,NA,NA,25,°C,NA,NA,5,mg/L,cerium oxide-activated carbon composite,NA,NA,批次,initial_concentration,NA,NA,"qe,exp=4.18 mg/g; qe,cal=4.25 mg/g",,Arabian Journal of Chemistry
CT reduction in H2-saturated water using Pd/Al catalyst,CCl4 + H2 → products + HCl,total reaction,还原,CCl4,CHCl3 (20% intermediate); CH4; C2H6,1,0.58,L·gcat⁻¹·min⁻¹,5.4,min,NA,NA,294,K,6.5-6.8,initial,4.6,µM,supported Pd catalyst,155,m²/g,批次,NA,NA,厌氧,"Zero-headspace reactor, CHCl3 is reactive intermediate",Hydrodehalogenation of halogenated groundwater contaminants with Pd catalysts and H2 gas,Environ. Sci. Technol.
CF reduction in H2-saturated water using Pd/Al catalyst,CHCl3 + H2 → CH4 + HCl,total reaction,还原,CHCl3,CH4,1,0.04,L·gcat⁻¹·min⁻¹,73.3,min,NA,NA,294,K,6.5-6.8,initial,35.2,µM,supported Pd catalyst,155,m²/g,批次,NA,NA,厌氧,Zero-headspace reactor,,Environ. Sci. Technol.
CT reduction to methane (direct pathway) using Pd/Al,CCl4 + H2 → CH4 + HCl,step 1,还原,CCl4,CH4 (60%),1,0.15,L·gcat⁻¹·min⁻¹,NA,NA,NA,NA,295,K,6.6-6.8,initial,57.3,µM,supported Pd catalyst,155,m²/g,批次,NA,NA,厌氧,"k10, direct conversion to methane, 92% carbon mass balance",,Environ. Sci. Technol.
CT reduction to ethane (radical pathway) using Pd/Al,CCl4 + H2 → C2H6 + HCl,step 1,还原,CCl4,C2H6 (14%); C2H4; C3H6; C3H8,1,0.02,L·gcat⁻¹·min⁻¹,NA,NA,NA,NA,295,K,6.6-6.8,initial,57.3,µM,supported Pd catalyst,155,m²/g,批次,NA,NA,厌氧,"k11, radical coupling pathway",,Environ. Sci. Technol.
CT reduction to chloroform using Pd/Al,CCl4 + H2 → CHCl3 + HCl,step 1,还原,CCl4,CHCl3 (21% max),1,0.06,L·gcat⁻¹·min⁻¹,NA,NA,NA,NA,295,K,6.6-6.8,initial,57.3,µM,supported Pd catalyst,155,m²/g,批次,NA,NA,厌氧,"k12, CHCl3 is reactive intermediate",,Environ. Sci. Technol.
Chloroform reduction to methane using Pd/Al,CHCl3 + H2 → CH4 + HCl,step 2,还原,CHCl3,CH4 (80%),1,0.01,L·gcat⁻¹·min⁻¹,NA,NA,NA,NA,295,K,6.6-6.8,initial,57.3,µM,supported Pd catalyst,155,m²/g,批次,NA,NA,厌氧,"k13, from CT transformation model",,Environ. Sci. Technol.
Chloroform reduction using Pd/Al (standalone experiment),CHCl3 + H2 → CH4 + HCl,total reaction,还原,CHCl3,CH4 (80%); C2H6 (<1%); CH2Cl2 (trace),1,0.014,L·gcat⁻¹·min⁻¹,NA,NA,NA,NA,295,K,6.6-6.8,initial,53.3,µM,supported Pd catalyst,155,m²/g,批次,NA,NA,厌氧,"k13, 66% transformation in 291 min, 81% carbon mass balance",,Environ. Sci. Technol.
CT reduction to methane (direct pathway) using metallic Pd,CCl4 + H2 → CH4 + HCl,step 1,还原,CCl4,CH4 (51%),1,1.5,L·gcat⁻¹·min⁻¹,NA,NA,NA,NA,295,K,6.6-6.8,initial,47.3,µM,metallic Pd,5,m²/g,批次,NA,NA,厌氧,"k10, 88% carbon mass balance",,Environ. Sci. Technol.
CT reduction to ethane (radical pathway) using metallic Pd,CCl4 + H2 → C2H6 + HCl,step 1,还原,CCl4,C2H6 (12%),1,0.4,L·gcat⁻¹·min⁻¹,NA,NA,NA,NA,295,K,6.6-6.8,initial,47.3,µM,metallic Pd,5,m²/g,批次,NA,NA,厌氧,"k11, radical coupling pathway",,Environ. Sci. Technol.
CT reduction to chloroform using metallic Pd,CCl4 + H2 → CHCl3 + HCl,step 1,还原,CCl4,CHCl3 (24% max),1,1,L·gcat⁻¹·min⁻¹,NA,NA,NA,NA,295,K,6.6-6.8,initial,47.3,µM,metallic Pd,5,m²/g,批次,NA,NA,厌氧,"k12, CHCl3 is reactive intermediate",,Environ. Sci. Technol.
Chloroform reduction to methane using metallic Pd,CHCl3 + H2 → CH4 + HCl,step 2,还原,CHCl3,CH4,1,0.1,L·gcat⁻¹·min⁻¹,NA,NA,NA,NA,295,K,6.6-6.8,initial,47.3,µM,metallic Pd,5,m²/g,批次,NA,NA,厌氧,"k13, from CT transformation model with metallic Pd",,Environ. Sci. Technol.
"CT reduction by AA at phosphate buffered pH 12, no mineral",CCl4 + 2e- → products,total reaction,还原,CCl4,CF (10% yield),NA,NA,NA,NA,NA,NA,NA,NA,NA,12,buffered,0.08,mM,NA,NA,NA,批次,pH,NA,NA,"~50% CT degradation, CF formation 10% of CT transformed",Reductive dechlorination of carbon tetrachloride using buffered alkaline ascorbic acid,Chemosphere
CT reduction by AA at phosphate buffered pH 12 with Fe3O4,CCl4 + 2e- → products,total reaction,还原,CCl4,CF (6% yield),NA,NA,NA,NA,NA,NA,NA,NA,NA,12,buffered,0.08,mM,iron oxide,NA,NA,批次,pH; mineral type,NA,NA,"~60% CT degradation, CF formation 6% of CT transformed",,Chemosphere
CT reduction by AA at phosphate buffered pH 12 with Fe2O3,CCl4 + 2e- → products,total reaction,还原,CCl4,CF (27% yield),NA,NA,NA,NA,NA,NA,NA,NA,NA,12,buffered,0.08,mM,iron oxide,NA,NA,批次,pH; mineral type,NA,NA,"~90% CT degradation, CF formation 27% of CT transformed",,Chemosphere
CT reduction by AA at phosphate buffered pH 12 with FeOOH,CCl4 + 2e- → products,total reaction,还原,CCl4,CF (18% yield),NA,NA,NA,NA,NA,NA,NA,NA,NA,12,buffered,0.08,mM,iron oxyhydroxide,NA,NA,批次,pH; mineral type,NA,NA,"~70% CT degradation, CF formation 18% of CT transformed",,Chemosphere
CT reduction by AA at phosphate buffered pH 12 with soil,CCl4 + 2e- → products,total reaction,还原,CCl4,CF (15% yield),NA,NA,NA,NA,NA,NA,NA,NA,NA,12,buffered,0.08,mM,soil,NA,NA,批次,pH; soil presence,NA,NA,"~80% CT degradation, CF formation 15% of CT transformed; soil contains 32190 mg Fe/kg and 190 mg Mn/kg",,Chemosphere
"CT reduction by AA in 1M NaOH, no mineral",CCl4 + 2e- → products,total reaction,还原,CCl4,no CF detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,~14,initial,0.08,mM,NA,NA,NA,批次,pH; NaOH concentration,NA,NA,"~91% CT degradation, dichloroelimination pathway dominant",,Chemosphere
CT reduction by AA in 1M NaOH with Fe3O4,CCl4 + 2e- → products,total reaction,还原,CCl4,no CF detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,~14,initial,0.08,mM,iron oxide,NA,NA,批次,pH; NaOH concentration; mineral type,NA,NA,~67% CT degradation,,Chemosphere
CT reduction by AA in 1M NaOH with Fe2O3,CCl4 + 2e- → products,total reaction,还原,CCl4,no CF detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,~14,initial,0.08,mM,iron oxide,NA,NA,批次,pH; NaOH concentration; mineral type,NA,NA,~74% CT degradation,,Chemosphere
CT reduction by AA in 1M NaOH with FeOOH,CCl4 + 2e- → products,total reaction,还原,CCl4,no CF detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,~14,initial,0.08,mM,iron oxyhydroxide,NA,NA,批次,pH; NaOH concentration; mineral type,NA,NA,~80% CT degradation,,Chemosphere
CT reduction by AA in 1M NaOH with soil,CCl4 + 2e- → products,total reaction,还原,CCl4,no CF detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,~14,initial,0.08,mM,soil,NA,NA,批次,pH; NaOH concentration; soil presence,NA,NA,~77% CT degradation,,Chemosphere
"CT reduction by AA in 2M NaOH, no mineral",CCl4 + 2e- → products,total reaction,还原,CCl4,no CF detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,~14,initial,0.08,mM,NA,NA,NA,批次,pH; NaOH concentration,NA,NA,"100% CT degradation, dichloroelimination pathway dominant",,Chemosphere
